,freeforms
Dom/sub Undertones,1
Dubious Ethics,1
Enemies to Lovers,1
Even though he's a sub in the streets,1
spy julian,1
a bi lesbian and her perfect trans scientist wife,1
Lack of Communication,1
Isolation,1
Morn - Freeform,1
Mutual Pining,1
characters with minor appearances:,1
there is some Garak and Bashir POV eventually,1
(but not sorry enough to not write this),1
Collars,1
Dom/sub,1
Dom/sub Play,1
rated mostly for an f-bomb,1
nothing to do with the novels,1
Loneliness,1
Alcohol,1
Lots of cuddles,1
No Sex,1
Pet Play,1
but not the focus of the story,1
during the Dominion occupation of DS9,1
rated m for the BDSM,1
suggestions of abuse but none shown or heavily discussed,1
Aftermath of Torture,1
Blind Character,1
Hopeful Ending,1
Miles O'Brien - Freeform,1
Lwaxana solves her problems by creating problems for others,1
Meltdown,1
i can't write,1
Vaginal Sex,1
Zero Gravity Sex,1
thigh riding,1
Episode: s06e09 Statistical Probabilities,1
Just Some Manips,1
season 7,1
Plunnies in the form of manips,1
Plunny,1
ficspiration,1
possibly some emotional infidelity,1
plunnies,1
Lwaxana POV,1
plunnies up for grabs,1
Gender-Neutral Pronouns,1
Bad Matchmaking,1
keiko you deserve so much better,1
Episode: s04e21 The Muse,1
Fake Marriage,1
and I'm sorry,1
Suspicions,1
Jadzia Dax - Freeform,1
Keiko O'Brien - Freeform,1
Inspired by Fanfiction,1
Languages and Linguistics,1
Medical Trauma,1
Sitcom,1
lesbian subtext,1
Episode: s06e17 Wrongs Darker Than Death Or Night,1
Mother-Daughter Relationship,1
Sexual Slavery,1
Temporary Character Death,1
Time Loop,1
Time Travel,1
Episode: s04 ep08 Little Green Men,1
garak helps but its so awkward lmfao,1
first time publishing so idk how to tag,1
Break Up,1
Mental Breakdown,1
Lesbians in Space,1
space gladiator,1
fic should rlly be called julian and the terrible horrible no good very bad day,1
bisexual lesbian romantic character,1
but not a major part of the story - Freeform,1
rating for BDSM,1
ezri is mentioned but i probably shouldn't have even tagged the poor girl she's mentioned like twice,1
before garak and kira go off to save the world,1
very little sex,1
References to Hamlet,1
i did the thing where i projected lmfao,1
o and jadzia isn't dead,1
oh yea almost forgot,1
okay im rambling now imma shut up,1
Miles is a good bro,1
Non-Sexual Intimacy,1
other pairings mentioned - Freeform,1
Past Brainwashing,1
Richard Bashir's A+ Parenting,1
Suicide Attempt,1
Xenophobia,1
but I promise I don't write things that don't end well,1
One Night Stands,1
y'all I'm not kidding this starts hella dark,1
Drunk Decision Making,1
Internalized Homophobia,1
Morning After,1
Or Does It,1
What happens on Risa stays on Risa,1
Episode: s06e23 Profit and Lace,1
takes place sometime in season 7??,1
Descent into Madness,1
poor julian,1
Gore,1
Horror,1
lot of Romulans,1
Alternate Universe - Age Changes,1
Agonizer - Freeform,1
cw: rape as a weapon of war,1
Mild Blood,1
Trektober 2021,1
(i think comma ive never written one before),1
Lingerie,1
Post-Episode: s07e25 Endgame (Star Trek: Voyager),1
teddy bear,1
flower picking,1
T4T Garashir,1
Trans Elim Garak,1
Trans Julian Bashir,1
Episode: s07e23 Extreme Measures,1
Fictober,1
Fictober 2020,1
Self-Indulgent,1
Sharing a Bed,1
Non-Consensual Touching,1
One-Sided Relationship,1
Parent/Child Incest,1
chocolate kisses,1
Victim Blaming,1
Dukat is not the one who did the bad thing,1
burning desire,1
I just needed to vent some emotions,1
Labor and Delivery,1
Graphic Description,1
Giving Birth,1
you do realize that over the course of 7 years they kill pretty much all of kira's friends right,1
tagged M for mentions of body writing but it's only a little bit,1
so sorry if that confuses you,1
silly little fic that somehow grew to 2k words,1
i do a lot of dubious worldbuilding,1
grief and mourning,1
gul rusot,1
lotr is so much better in the original bajoran,1
queer bajorans,1
the shakaar,1
this is just a goddamned angst fest,1
Alternate Universe - Time Travel,1
Alternate Universe - Modern with Magic,1
Implied Childhood Sexual Abuse,1
duck prints press prompt-a-duck,1
descriptions of violence,1
aspec Honor Harrington,1
anthro treecats,1
Nudity,1
and therefore everyone who was not immortal-ish like they are has died of old age,1
and i switch between the two,1
Honor goes by her middle name in the 'present',1
Episode: s07e17 Penumbra,1
angsty,1
No Beta,1
Not Proofread,1
Science,1
Androids,1
Artificial Intelligence,1
Cybernetics,1
Data's Emotion Chip (Star Trek),1
Daystrom Institute (Star Trek),1
Demisexuality,1
Feelings Realization,1
Inspired by Star Trek: The Next Generation,1
Musicians,1
Psychology,1
Bubble Bath,1
Inflation,1
Alternate Universe - Evil,1
Augmented Julian Bashir,1
Captivity,1
B'Elanna on DS9,1
Death,1
Evil,1
no happy ending,1
Non-Consensual Drug Use,1
Medical Experimentation,1
Held Down,1
Public Nudity,1
Humiliation,1
Valentine's Day,1
rated mature out of an extreme overabundance of caution,1
but it's in the past,1
but nothing is described,1
established relationship with Dukat,1
Steamy,1
idk what this is,1
if you can't get store bought closure homemade is fine,1
making my own closure,1
mention of childhood incident,1
not glorifying that event,1
protective!Dukat,1
Male Slash,1
eventual kid fic,1
simply trying to purge my own,1
Comfort,1
Hanging with lovesick Julian lol,1
Kira and Kasidy waiting for Ben,1
Jadzia Dax Lives,1
Living their lives,1
Fluffy,1
Mature for chapter 16,1
Post-Series,1
Femslash,1
episode tag: the darkness and the light,1
cw: occupational violence,1
Canon-Typical Attitudes,1
bajoran folklore,1
Sauna,1
the beheading of Procal Dukat,1
