relationshipspairslash,General Audiences,Teen And Up Audiences,Mature,Explicit,Not Rated,Total
Benjamin Sisko/Jennifer Sisko,3,1,1,0,0,5
Julian Bashir/Keiko O'Brien,0,3,1,1,0,5
Jack/Sarina Douglas,1,1,3,0,0,5
Kira Nerys/Lupaza,1,2,1,0,0,4
Elim Garak/Julian Bashir/Tora Ziyal,1,0,0,3,0,4
Benjamin Sisko/Quark,1,1,1,1,0,4
Kira Nerys/Leeta,0,2,0,2,0,4
Female Changeling/Odo,0,1,2,1,0,4
Remata'Klan/non-cast,0,0,0,4,0,4
Ezri Dax/Leeta,1,3,0,0,0,4
Morn/non-cast,1,2,0,1,0,4
Ezri Dax/Jake Sisko,4,0,0,0,0,4
Yelgrun/non-cast,0,2,1,1,0,4
Felix/Julian Bashir,0,1,0,3,0,4
Elim Garak/Jadzia Dax/Julian Bashir,0,0,0,3,1,4
Female Changeling/Weyoun,0,0,1,3,0,4
Kira Nerys/Quark,1,3,0,0,0,4
Eris/Weyoun,0,2,1,1,0,4
Martok/non-cast,1,0,0,3,0,4
Jake Sisko/non-cast,3,0,0,1,0,4
Keiko O'Brien/non-cast,0,1,2,0,0,3
Captain Solok/non-cast,0,2,0,0,1,3
Corat Damar/Tora Ziyal,2,0,1,0,0,3
Kelas Parmak/non-cast,0,0,3,0,0,3
Julian Bashir/Julian Bashir,0,1,0,2,0,3
Benjamin Sisko/Odo,0,0,0,2,1,3
Vreenak/non-cast,0,0,2,1,0,3
Jadzia Dax/Keiko O'Brien,0,1,0,2,0,3
Rotan'talag/Weyoun,1,1,0,1,0,3
Jack/Julian Bashir,0,0,3,0,0,3
Corat Damar/Skrain Dukat/Weyoun,0,0,1,2,0,3
Benjamin Sisko/Michael Eddington,2,1,0,0,0,3
Elim Garak/Julian Bashir/Miles O'Brien,0,0,2,1,0,3
Eris/Luaran,1,1,1,0,0,3
Enabran Tain/Julian Bashir,0,0,1,2,0,3
Julian Bashir/non-cast/non-cast,0,1,2,0,0,3
Felix/non-cast,0,1,0,2,0,3
Julian Bashir/Weyoun,0,0,2,1,0,3
Corat Damar/Ezri Dax,1,1,0,1,0,3
Arissa/Odo,0,0,0,1,2,3
Keevan/Yelgrun,1,0,2,0,0,3
Furel/Lupaza,1,1,1,0,0,3
Alexander Rozhenko/Nog,0,2,0,0,1,3
Aamin Marritza/Iliana Ghemor,2,1,0,0,0,3
Jadzia Dax/Kira Nerys/Worf,2,0,1,0,0,3
Mekor Dukat/non-cast,0,3,0,0,0,3
Jadzia Dax/Julian Bashir/Worf,0,0,2,1,0,3
Tora Naprem/non-cast,0,2,0,1,0,3
Iloja of Prim/Tobin Dax,3,0,0,0,0,3
Goran'Agar/Julian Bashir,0,2,1,0,0,3
Boheeka/Quark,0,1,1,1,0,3
Kira Nerys/Worf,0,0,1,1,0,2
Enabran Tain/Kelas Parmak,0,0,1,1,0,2
Dax/Lenara Kahn,0,1,1,0,0,2
Opaka/Winn Adami,1,1,0,0,0,2
Worf/non-cast/non-cast,0,2,0,0,0,2
Laas/Odo,1,1,0,0,0,2
Quark/Vic Fontaine,0,1,1,0,0,2
Gilora Rejal/non-cast,0,0,0,2,0,2
Joseph Sisko/Sarah Sisko,1,0,1,0,0,2
Benjamin Sisko/Vic Fontaine,1,1,0,0,0,2
Kira Nerys/Winn Adami,0,1,0,0,1,2
Natima Lang/Tora Naprem,0,0,1,1,0,2
Borath/non-cast,0,1,1,0,0,2
Joseph Sisko/non-cast,0,1,1,0,0,2
Corat Damar/Keevan,0,0,0,2,0,2
Reese/non-cast,0,1,1,0,0,2
Jadzia Dax/Melora Pazlar,2,0,0,0,0,2
Elim Garak/Julian Bashir/Skrain Dukat,1,0,0,1,0,2
Elim Garak/Enabran Tain,0,1,1,0,0,2
Chalan Aroya/Odo,0,2,0,0,0,2
Enabran Tain/Martok,0,1,1,0,0,2
Julian Bashir/Odo,0,1,0,0,1,2
Julian Bashir/Q,0,1,1,0,0,2
Jaro Essa/Winn Adami,1,1,0,0,0,2
Corat Damar/Skrain Dukat/non-cast,0,0,1,1,0,2
