Borath/non-cast,2
Elim Garak/Enabran Tain,2
Dax/non-cast,2
Ishka/Keldar,2
Jadzia Dax/Odo,2
Julian Bashir/Odo,2
Morn/Quark,2
Elim Garak/Lwaxana Troi,2
Akellen Macet/Elim Garak,2
Dax/Worf,2
Keevan/Skrain Dukat,2
K'Ehleyr/Worf,2
Julian Bashir/Q,2
Curzon Dax/Julian Bashir,2
Leeta/Winn Adami,2
Benjamin Sisko/Rom,2
Odo/Worf,2
Barkan Lokar/Elim Garak,2
Amsha Bashir/Richard Bashir,2
Reese/non-cast,2
Dax/Julian Bashir,2
Kaga/Quark,1
Omet'iklan/Weyoun,1
Elim Garak/Joseph Sisko,1
Ray Vecchio/non-cast,1
Kelas Parmak/Tora Ziyal,1
Ezri Dax/Kilana,1
Kira Nerys/Natima Lang,1
Jadzia Dax/Kilana,1
Kira Nerys/Tekeny Ghemor,1
Rom/non-cast,1
Brunt/non-cast,1
The Doctor/non-cast,1
Rose Tyler/non-cast,1
Kela Idaris/non-cast,1
Jadzia Dax/K'Ehleyr,1
Drex/Elim Garak,1
Athra Dukat/Skrain Dukat,1
Julian Bashir/Winn Adami,1
Ziranne Idaris/non-cast,1
Corat Damar/Quark,1
Quark/Skrain Dukat,1
Benjamin Sisko/Morn,1
Mavek/non-cast,1
Kira Nerys/Weyoun,1
Gor/Weyoun,1
Alexander Rozhenko/Jake Sisko,1
Alexander Rozhenko/Julian Bashir,1
Eris/non-cast,1
Gelnon/non-cast,1
Luaran/non-cast,1
Jadzia Dax/Kasidy Yates,1
Kaga/non-cast,1
Benjamin Sisko/Captain Solok,1
Kasidy Yates/non-cast,1
Elim Garak/Richard Bashir,1
Benjamin Sisko/Dax,1
Amsha Bashir/Elim Garak,1
Ellis Gareth/Julian Bashir,1
Eris/Kilana,1
Kasidy Yates/Weyoun,1
Deral/Julian Bashir,1
Elim Garak/Winn Adami,1
Julian Bashir/Lwaxana Troi,1
Ezri Dax/Nog,1
Han Solo/Luke Skywalker,1
Alexander Rozhenko/Ch'Targh,1
Deyos/non-cast,1
Jasper Hale/Rosalie Hale,1
Curzon Dax/Elim Garak,1
Benjamin Sisko/Q,1
Bareil Antos/Morn,1
Curzon Dax/non-cast,1
Torias Dax/non-cast,1
Boday/Julian Bashir,1
Kimara Cretak/T'Rul,1
Kasidy Yates/Miles O'Brien,1
Benjamin Sisko/Miles O'Brien,1
Weyoun/Weyoun,1
Pel/non-cast,1
Corat Damar/Reader,1
Dax/Garak,1
Cox/non-cast,1
Ezri Dax/Garak,1
Cox/Kira Nerys,1
Julian Bashir/Lieutenant Watley,1
Kathryn Janeway/non-cast,1
Benjamin Sisko/Tora Ziyal,1
Elim Garak/Kaga,1
Julian Bashir/Kaga,1
Benjamin Sisko/Weyoun,1
Lenara Kahn/background Grilka,1
Kira Nerys/Miles O'Brien (mentioned),1
Skrain Dukat/Vreenak,1
Dax/Jadzia Dax,1
Deyos/Weyoun,1
Luaran/Yelgrun,1
Ezri Dax/Skrain Dukat,1
Odo/Skrain Dukat,1
Elim Garak/Luther Sloan,1
