,freeforms
Kinky and bisexual like we're in the Mirror Universe,1
Character Study,1
Character study? In MY smut fic? It's more likely than you think,1
Miles O'Brien POV,1
POV Third Person Limited,1
Penetration,1
Unhealthy Coping Mechanisms,1
Episode: s05e03 Looking for par'Mach in All the Wrong Places,1
Strap-Ons,1
(The Author Enjoys Dunking on Dukat to a Perverted Degree),1
69 (Sex Position),1
Also Dukat is a Bajoran Otaku (A Bajoraboo If You Will),1
Cardassian Genitalia are Called Ajan and Sotl Because I’m Anti PrUt,1
Dukat Has a Virginity Kink AND a Twins Kink,1
If Your Clone Gets You Off Is It Technically Masturbation? (Written By Philip K. Dick),1
Selfcest,1
Vorta Pussy (Vussy),1
Weyoun POV,1
i love the headcanon of vorta being extra bat-like so e.g. their skin is fuzzy,1
Nonbinary Kelas Parmak,1
T4T4T? is that a thing?,1
Trans Elim Garak,1
Androids,1
Closed Relationship,1
No Incest,1
(The Author Tries to Not Think About the Implications of This Information),1
technically threesome but Jadzia is there too,1
Massage,1
mild gape,1
Pregnancy,1
Pregnant Sex,1
Bashir goes through hell and if you click on this you are responsible for everything you read,1
Just to reassure Mami94 I promise not to kill him,1
Violation,1
Come Swallowing,1
Felching,1
Maybe Cuckolding?,1
Not Beta Read,1
Orgasm Delay/Denial,1
Snowballing,1
The O'Brien Polycule,1
smut with introspection,1
a lot of cum,1
double dick klingons,1
Past Relationship(s),1
Oo-mox,1
Nude Modeling,1
Alternate Universe - Canon Divergence,1
Limericks,1
Sonnets,1
Daddy Issues,1
Fuck Or Die,1
Gratuitous German,1
Murder Mystery,1
Recommended Viewing: Babylon Berlin,1
Recommended Viewing: Cabaret,1
Sickfic,1
beans,1
but it works out,1
cameo appearances by Quark Jadzia Jabara and Weyoun,1
Forbidden Love,1
Non-Consensual Oral Sex,1
Garak's Mind Games,1
Gift Fic,1
ziyal has a dilf kink,1
Medical Procedures,1
unless of course you have the latinum to pay for an after alteration hours fitting,1
Episode: s03e25 Facets,1
