relationshipspairslash,M/M,Gen,F/M,F/F,Multi,No category,Other,Total
Julian Bashir/Palis Delon,4,0,3,1,2,0,1,11
Ishka/Lwaxana Troi,0,0,1,5,1,0,0,7
Thomas Riker/non-cast,3,1,3,0,0,0,0,7
Skrain Dukat/Tora Ziyal,0,0,5,0,0,0,0,5
Benjamin Sisko/Curzon Dax,3,0,3,0,3,0,1,10
Curzon Dax/Jadzia Dax,3,1,2,1,2,0,0,9
Julian Bashir/Tora Ziyal,4,1,2,1,4,0,0,12
Jack/Sarina Douglas,3,1,5,1,0,0,0,10
Felix/Julian Bashir,4,0,1,0,1,0,1,7
Martok/non-cast,1,0,4,0,0,0,1,6
Ezri Dax/Leeta,1,1,0,4,1,0,0,7
Yelgrun/non-cast,3,1,0,0,0,0,0,4
Benjamin Sisko/Quark,4,1,0,0,0,0,0,5
Kira Nerys/Leeta,1,0,0,3,2,0,0,6
Eris/Weyoun,0,2,4,0,0,0,0,6
Female Changeling/Weyoun,3,0,1,0,0,0,1,5
Kira Nerys/Lupaza,0,1,0,3,0,0,0,4
Jake Sisko/non-cast,2,1,1,0,0,0,1,5
Kira Nerys/Quark,1,0,1,0,2,0,0,4
Jadzia Dax/Keiko O'Brien,3,0,3,4,1,0,0,11
Female Changeling/Odo,0,1,2,0,0,0,1,4
Remata'Klan/non-cast,0,0,4,0,2,0,0,6
Benjamin Sisko/Ezri Dax,1,1,1,2,2,0,1,8
Morn/non-cast,2,2,1,0,0,0,1,6
Ezri Dax/Jake Sisko,0,1,4,0,0,0,0,5
Felix/non-cast,2,0,2,0,1,0,1,6
Boheeka/Quark,3,0,1,0,0,0,0,4
Jack/Julian Bashir,2,0,1,0,1,0,0,4
Furel/Lupaza,1,2,3,0,0,0,0,6
Julian Bashir/Weyoun,2,0,0,0,3,0,0,5
Kelas Parmak/non-cast,3,0,0,0,0,0,0,3
Benjamin Sisko/Odo,3,0,0,0,0,0,0,3
Captain Solok/non-cast,0,2,3,0,0,0,0,5
Arissa/Odo,1,1,3,1,1,0,1,8
Keiko O'Brien/non-cast,1,1,1,3,0,0,1,7
Rotan'talag/Weyoun,3,0,0,0,0,0,0,3
Benjamin Sisko/Michael Eddington,3,0,0,1,0,0,0,4
Eris/Luaran,2,1,0,3,0,0,0,6
Iloja of Prim/Tobin Dax,1,2,0,0,0,0,0,3
Keevan/Yelgrun,3,0,0,1,1,0,2,7
Enabran Tain/Julian Bashir,3,0,0,0,0,0,0,3
Mekor Dukat/non-cast,3,0,0,0,0,0,0,3
Aamin Marritza/Iliana Ghemor,0,0,2,0,0,1,0,3
Tora Naprem/non-cast,1,1,1,2,1,0,0,6
Vreenak/non-cast,0,0,3,1,1,0,0,5
Alexander Rozhenko/Nog,2,0,0,0,1,0,0,3
Goran'Agar/Julian Bashir,2,1,0,0,0,0,1,4
Corat Damar/Ezri Dax,1,1,2,1,1,0,0,6
Julian Bashir/Julian Bashir,2,0,0,0,1,0,1,4
Corat Damar/Tora Ziyal,0,0,3,0,0,0,0,3
Spock/non-cast,2,0,1,0,0,1,0,4
Enabran Tain/non-cast,2,0,1,0,0,0,0,3
Enabran Tain/Kelas Parmak,2,0,0,0,0,0,0,2
Dax/non-cast,0,0,0,2,0,0,1,3
Reese/non-cast,2,2,1,0,0,0,1,6
Natima Lang/Tora Naprem,0,0,0,1,1,0,1,3
Jadzia Dax/Melora Pazlar,0,0,0,2,0,0,0,2
Jake Sisko/Kesha,1,0,2,0,1,0,0,4
Enabran Tain/Martok,2,0,0,0,0,0,0,2
Julian Bashir/Q,1,0,0,0,1,0,0,2
Amsha Bashir/Richard Bashir,1,1,1,0,0,0,0,3
Kira Nerys/Winn Adami,0,0,0,2,0,0,0,2
Laas/Odo,1,1,0,1,0,0,0,3
Benjamin Sisko/Vic Fontaine,1,0,1,0,2,0,0,4
Dax/Lenara Kahn,1,2,2,2,1,0,0,8
Gilora Rejal/non-cast,0,0,1,1,0,0,0,2
Kilana/non-cast,0,1,0,1,0,0,0,2
Quark/Vic Fontaine,2,0,0,0,0,0,0,2
Keevan/Skrain Dukat,2,0,0,0,0,0,0,2
Winn Adami/non-cast,0,0,1,1,0,1,0,3
Jaro Essa/Winn Adami,0,2,2,0,0,0,0,4
Bareil Antos/Benjamin Sisko,2,1,1,2,1,0,0,7
Borath/non-cast,1,1,0,0,0,0,0,2
Tom Paris/non-cast,2,0,2,1,2,0,0,7
Corat Damar/Keevan,2,0,0,0,0,0,0,2
Jadzia Dax/Odo,1,0,2,1,1,0,0,5
Kira Nerys/Worf,1,0,2,1,1,0,0,5
Corat Damar/Mila Garak,1,1,2,0,0,0,0,4
Ishka/Zek,0,1,2,1,1,0,0,5
Curzon Dax/Quark,2,0,0,0,0,0,0,2
Chalan Aroya/Odo,1,1,1,0,0,0,0,3
Corat Damar/Julian Bashir,2,1,0,0,0,0,0,3
Grilka/Natima Lang,0,0,0,2,1,0,0,3
Ishka/Keldar,1,0,1,0,0,0,0,2
Akellen Macet/Elim Garak,2,0,0,0,0,0,0,2
Joseph Sisko/non-cast,0,0,2,0,0,0,0,2
Dax/Worf,0,0,0,0,0,2,0,2
Leeta/Winn Adami,0,0,0,2,0,0,0,2
Curzon Dax/Julian Bashir,2,0,1,0,1,0,1,5
Julian Bashir/Odo,2,0,1,1,1,0,0,5
Elim Garak/Lwaxana Troi,0,0,2,0,0,0,0,2
Opaka/Winn Adami,0,0,0,2,0,0,0,2
Dax/Julian Bashir,1,0,1,1,2,0,0,5
Morn/Quark,2,1,1,0,0,0,0,4
Odo/Worf,2,0,0,1,1,0,0,4
Elim Garak/Enabran Tain,1,0,0,0,0,1,0,2
Barkan Lokar/Elim Garak,2,0,1,1,1,0,0,5
Kasidy Yates/Keiko O'Brien,0,0,0,0,2,0,0,2
K'Ehleyr/Worf,0,1,1,0,1,0,1,4
Benjamin Sisko/Rom,2,0,0,0,0,0,0,2
Joseph Sisko/Sarah Sisko,0,1,1,0,0,0,0,2
Corat Damar/Quark,1,0,0,0,0,0,0,1
Han Solo/Luke Skywalker,0,0,0,0,1,0,0,1
Eris/Kilana,1,0,0,1,1,0,1,4
Alexander Rozhenko/Jake Sisko,0,0,0,0,1,0,0,1
Deral/Julian Bashir,1,0,0,0,0,0,0,1
Rom/non-cast,1,0,0,0,1,0,0,2
Ray Vecchio/non-cast,1,0,1,1,0,0,0,3
Julian Bashir/Lwaxana Troi,1,0,1,0,1,0,1,4
Jadzia Dax/Kilana,1,0,0,1,0,0,1,3
The Doctor/non-cast,1,0,1,1,0,0,1,4
Rose Tyler/non-cast,1,0,1,1,0,0,1,4
Ezri Dax/Kilana,0,0,0,1,0,0,0,1
Kaga/Quark,1,0,0,0,0,0,0,1
Omet'iklan/Weyoun,1,0,1,0,0,0,0,2
Kelas Parmak/Tora Ziyal,0,0,1,0,1,0,1,3
Julian Bashir/Winn Adami,0,0,1,0,0,0,0,1
Elim Garak/Joseph Sisko,1,0,0,0,0,0,0,1
Ezri Dax/Nog,0,0,1,0,0,0,0,1
Kela Idaris/non-cast,0,0,1,0,0,0,0,1
Alexander Rozhenko/Ch'Targh,0,0,0,0,1,0,0,1
Jadzia Dax/K'Ehleyr,0,0,0,0,1,0,0,1
Ziranne Idaris/non-cast,0,0,1,0,0,0,0,1
Kira Nerys/Tekeny Ghemor,0,0,1,0,0,0,0,1
Brunt/non-cast,1,0,0,0,0,0,0,1
Drex/Elim Garak,1,0,0,0,1,0,0,2
Gor/Weyoun,1,0,0,0,0,0,0,1
Athra Dukat/Skrain Dukat,0,1,0,0,0,0,0,1
