relationshipspairslashspecies,General Audiences,Teen And Up Audiences,Mature,Explicit,Not Rated
Cardassian/Ferangi/Human,0.0,0.0,0.0,100.0,0.0
Betazoid/Multiple,0.0,0.0,0.0,100.0,0.0
Betazoid/Trill/Trill,0.0,0.0,0.0,100.0,0.0
Bajoran/Cardassian/Trill/unknown,0.0,0.0,0.0,100.0,0.0
Ferangi/Human/Human,0.0,100.0,0.0,0.0,0.0
Betazoid/sy,0.0,100.0,0.0,0.0,0.0
Cardassian/Vorta/Vorta,0.0,0.0,0.0,100.0,0.0
Bajoran/Cardassian/Klingon,0.0,0.0,0.0,100.0,0.0
Changeling/Human/Trill,0.0,0.0,0.0,100.0,0.0
Betazoid/Human/Vorta,100.0,0.0,0.0,0.0,0.0
Betazoid/Vorta,100.0,0.0,0.0,0.0,0.0
Bajoran/Bajoran/Bajoran/Bajoran/Betazoid/Cardassian/Changeling/Ferangi/Ferangi/Human/Human/Human/Klingon/Trill/Trill/unknown,0.0,100.0,0.0,0.0,0.0
Betazoid/Human/Trill,0.0,0.0,0.0,100.0,0.0
Cardassian/Changeling/Human/Trill,0.0,100.0,0.0,0.0,0.0
Cardassian/Cardassian/Human/unknown,0.0,0.0,0.0,100.0,0.0
Human/Klingon/Klingon,0.0,0.0,0.0,100.0,0.0
Betazoid/Ferangi/unknown/unknown,0.0,0.0,100.0,0.0,0.0
Betazoid/Q,100.0,0.0,0.0,0.0,0.0
Cardassian/Human/Klingon/sy,0.0,0.0,0.0,100.0,0.0
Bajoran/Bajoran/Betazoid/Cardassian/Changeling/Ferangi/Ferangi/Human/Human/Human/Klingon/Trill/Trill/unknown,0.0,100.0,0.0,0.0,0.0
Jem'Hadar/Vorta/unknown,0.0,0.0,0.0,100.0,0.0
Cardassian/Human/Human/unknown/unknown,0.0,100.0,0.0,0.0,0.0
Bajoran/Changeling/unknown,0.0,0.0,0.0,100.0,0.0
Bajoran/Human/Trill/unknown,100.0,0.0,0.0,0.0,0.0
Trill/Trill/unknown,0.0,0.0,0.0,0.0,100.0
Bajoran/Trill/unknown,0.0,0.0,100.0,0.0,0.0
Bajoran/sy,0.0,100.0,0.0,0.0,0.0
Bajoran/Changeling/Human/sy,0.0,0.0,0.0,0.0,100.0
Hologram/unknown,0.0,100.0,0.0,0.0,0.0
Cardassian/Ferangi/unknown,100.0,0.0,0.0,0.0,0.0
Bajoran/Ferangi/unknown,0.0,0.0,100.0,0.0,0.0
Klingon/Trill/unknown,0.0,100.0,0.0,0.0,0.0
Betazoid/Changeling/Ferangi,0.0,100.0,0.0,0.0,0.0
Bajoran/Human/Human/unknown,0.0,100.0,0.0,0.0,0.0
Cardassian/Klingon/unknown,0.0,100.0,0.0,0.0,0.0
Betazoid/Human/Human,100.0,0.0,0.0,0.0,0.0
Bajoran/Cardassian/Human,0.0,100.0,0.0,0.0,0.0
Cardassian/Trill/unknown,0.0,0.0,0.0,100.0,0.0
Bajoran/Vorta,0.0,0.0,0.0,100.0,0.0
Bajoran/Bajoran/Trill/Trill,0.0,100.0,0.0,0.0,0.0
Cardassian/Cardassian/Cardassian,0.0,0.0,0.0,100.0,0.0
Cardassian/Q,0.0,0.0,100.0,0.0,0.0
Cardassian/Human/unknown/unknown,0.0,100.0,0.0,0.0,0.0
Bajoran/Human/unknown/unknown,0.0,100.0,0.0,0.0,0.0
Cardassian/Romulan/unknown,0.0,0.0,0.0,100.0,0.0
Human/sy,0.0,100.0,0.0,0.0,0.0
Cardassian/Cardassian/Multiple,0.0,0.0,0.0,100.0,0.0
Klingon/Klingon/Trill,0.0,0.0,100.0,0.0,0.0
Vorta/Vorta/unknown,0.0,0.0,0.0,100.0,0.0
Human/Trill/unknown,0.0,0.0,0.0,0.0,100.0
Bajoran/Ferangi/Klingon,0.0,0.0,0.0,100.0,0.0
Bajoran/Cardassian/Trill/Vorta,0.0,0.0,0.0,100.0,0.0
Cardassian/Human/Vorta,0.0,0.0,100.0,0.0,0.0
Total,28.000000000000004,32.2,15.2,20.9,3.5999999999999996
