Ezri Dax & Kasidy Yates,1
Benjamin Sisko & Lisa Cusak,1
Benjamin Sisko & Kirayoshi O'Brien,1
Kira Nerys & Nog,1
Elias Vaughn & Julian Bashir,1
Kira Nerys & Kira Taban,1
Corat Damar & Ezri Dax,1
Benjamin Sisko & Worf,1
Jadzia Dax & Worf,1
Miles O'Brien & Rom,1
Elim Garak & Vic Fontaine,1
Worf (Star Trek:TNG & non-cast,1
Nog & Vic Fontaine,1
Ezri Dax & Yanas Tigan,1
Cox & Skrain Dukat,1
Koval & Luther Sloan,1
Elim Garak & Gaila,1
Boday & Jadzia Dax,1
Benjamin Sisko & Dax,1
Elim Garak & Kukalaka,1
Noonian Soong & non-cast,1
Ezri Dax & Tora Ziyal,1
Keiko O’Brien & Tora Ziyal,1
Baby Changeling & Weyoun,1
Elim Garak & Jean-Luc Picard,1
Mekor Dukat & Molly O'Brien,1
Elim Garak & Jack,1
Kelas Parmak & Tora Naprem,1
Kelas Parmak & Natima Lang,1
Quark & Worf,1
Julian Bashir & Tekeny Ghemor,1
Quark & Skrain Dukat,1
Rey & non-cast,1
Audrid Dax & non-cast,1
Benjamin Sisko & Joseph Sisko,1
Curzon Dax & Odo,1
Martok & Worf,1
Curzon Dax & Dax,1
Nog & Worf,1
Kirayoshi O'Brien & non-cast,1
Female Changeling & Odo,1
Athra Dukat & Kira Nerys,1
Alexander Rozhenko & Lwaxana Troi,1
Kira Nerys & Lwaxana Troi,1
Jadzia Dax & Kor,1
Female Changeling & Weyoun,1
Borath & Weyoun,1
Spock & non-cast,1
Lwaxana Troi & non-cast,1
Kira Nerys & Molly O'Brien,1
Phil Coulson & non-cast,1
Alon Ghemor & Elim Garak,1
Keevan & Weyoun,1
Quark & Weyoun,1
Elim Garak & Nog,1
Benjamin Sisko & Tora Ziyal,1
Tora Naprem & Tora Ziyal,1
Dukat's Mother & Tora Ziyal,1
Dukat's Mother & Skrain Dukat,1
Benjamin Sisko & Captain Solok,1
Jennifer Sisko & Kasidy Yates,1
Borath & Laas,1
Vic Fontaine & non-cast,1
Kasidy Yates & Weyoun,1
Jennifer Sisko & Miles O'Brien,1
Gelnon & Weyoun,1
Ezri Dax & Martok,1
Tora Ziyal & Weyoun,1
Dax & Jadzia Dax,1
Julian Bashir & Sarina Douglas,1
Elim Garak & Sarina Douglas,1
Odo & Tora Naprem,1
Weyoun & Weyoun,1
Jake Sisko & non-cast,1
Miles O'Brien & Rom (Star Trek),1
Lance & Picard’s Love Interest From Stellar Cartography,1
Kelas Parmak & non-cast,1
Keiko O’Brien & non-cast,1
Female Changeling & non-cast,1
Corat Damar & Scorpia,1
Odo & Odo,1
Quark & Vic Fontaine,1
Miles O'Brien & Morn,1
