,freeforms
Inspired by Fanfiction,1
Mentions past non-con elements,1
Slow Burn,1
Fake/Pretend Relationship,1
Massage,1
Intoxication,1
Fisting,1
Female Ejaculation,1
Government Conspiracy,1
Revolution,1
Trill Worldbuilding,1
Trill Culture and Taboo,1
Team as Family,1
Post-War,1
"Post-""Equilibrium""",1
Nonverbal Communication,1
Healing,1
Family,1
just so much pining,1
everyone is bi,1
Wooing,1
Past Relationships,1
Bisexual Characters,1
mentions past identity issues,1
mentions past gaslighting,1
Lesbian Character,1
Digital Art,1
Vetar Personnel,1
Lesbian Sex,1
Mild Smut,1
Set during Dominian War,1
just go with it,1
startrekfemships5k,1
Wilderness,1
Huddling For Warmth,1
50 Sentences,1
unwitting exhibitionism,1
Voyeurism,1
Alcohol,1
Semi-Public Sex,1
Mostly Dialogue,1
Background Femslash,1
Zhian'tara,1
Threesome - F/F/F,1
Personal Favorite,1
Attempt at Humor,1
Complicated Relationships,1
Character Study,1
possible dubcon,1
implied Garak/Bashir,1
Tumblr: ds9tumblzine,1
Post canon,1
Missing Scene,1
Genderswap,1
Sexuality Crisis,1
Past Lives,1
Past Rape/Non-con,1
The Circle,1
Dax's past hosts,1
Bajoran Culture,1
Blanket Permission,1
world building,1
Symbionts,1
accidental arousal,1
Weird Junk,1
Pregnant Sex,1
Friends With Benefits,1
Botany,1
Starfleet,1
Alternate Universe,1
The Jack Pack,1
Seduction,1
Interspecies Relationship(s),1
unity,1
Sharing Unity,1
Pre-Canon,1
Gratuitous Plant Metaphors,1
18th Century Crossover,1
Spas,1
Squirting,1
Vaginal Fingering,1
background garashir,1
Ficlet Collection,1
Romance,1
Podfic,1
Prompt Fic,1
Pre-Slash,1
Podfic & Podficced Works,1
One True Pairing,1
My First Smut,1
Fluff and Smut,1
Fluff and Humor,1
Podfic Length: 30-45 Minutes,1
Angst and Hurt/Comfort,1
Adorable,1
lockdown - Freeform,1
Tora Ziyal has ADHD,1
Tora Ziyal Lives,1
Plague,1
Intersex Kelas Parmak,1
Humour,1
Genital-Themed Pasta,1
Ableism,1
Curtain Fic,1
Covid-19 Related Fanwork,1
Wholesome,1
ASCEM,1
Silence,1
Missed Opportunities,1
Episode: s07e24 Preemptive Strike,1
Crack,1
Teasing,1
Audio Format: M4B,1
takes place vaguely around season 2,1
Trill romance hangups,1
Mutual Pining,1
Audio Format: MP3,1
prompt: pining,1
Audio Format: Streaming,1
Hopeful Ending,1
it isn't over night,1
Bajoran history,1
Alternate Universe - Canon Divergence,1
Topless Cuddling,1
Making Out,1
First Date,1
Acespec Kira,1
Homophobia,1
what it means to recover,1
the occupation of bajor,1
some mention of war violence,1
COVID-19,1
(although I didn't make that super obvious here),1
Roleplay,1
we'll just call it pegging for now idk.,1
Holodeck Sex,1
Gratuitous Hozier Lyrics,1
Dax just wants her boyfriend and her girlfriend to date,1
Bajorans have tails,1
Mild Kink,1
Ishka manipulates Zek by withholding sex,1
Child Abuse,1
Comedy,1
Chastity Device,1
Episode: s04e06 Rejoined,1
pegging?,1
I will never apologize for writing about aliens trying to bone,1
mollyamory,1
is it pegging if its a female pseudopenis?,1
coz i like face sitting,1
Childbirth,1
Threesome,1
Recreational Drug Use,1
spa,1
look they definitely let you smoke weed on Risa or whats the point?,1
femme slash,1
because there's always garashir,1
I crack shipped it and now I ship it for real a four part miniseries starring me,1
Polyamory Negotiations,1
Kink Negotiation,1
Masturbation,1
Femslash February,1
Pillow Talk,1
Past Sexual Abuse,1
Making Love,1
Intimacy,1
Insecurity,1
Implied/Referenced Rape/Non-con,1
it's not all smut,1
Yearning,1
Planet Risa (Star Trek),1
Femslash February 2020,1
Thanks Double Dicked Klingons Star Trek Discovery,1
Drabbles,1
traditional bajorans are...kinda home of phobic in this fic,1
mild cw for mentions of Kira’s backstory,1
I eat canon for breakfast,1
Space Battles,1
hot springs episode,1
fake married,1
Trill are hermaphroditic,1
This sounds hornier than it is,1
There is no other Kira/Worf on the internet,1
there's coffee in that nebula,1
