relationshipspairslash,General Audiences,Teen And Up Audiences,Mature,Explicit,Not Rated
Kira Nerys/Tora Ziyal,12.5,12.5,25.0,50.0,0.0
Keevan/non-cast,0.0,12.5,25.0,62.5,0.0
Hanok/Quark,0.0,25.0,50.0,25.0,0.0
Elim Garak/Ezri Dax/Julian Bashir,0.0,25.0,12.5,62.5,0.0
Julian Bashir/Sarina Douglas,37.5,25.0,25.0,12.5,0.0
Tora Ziyal/non-cast,50.0,25.0,12.5,12.5,0.0
Benjamin Sisko/Elim Garak,25.0,12.5,37.5,12.5,12.5
Ezri Dax/Worf,25.0,62.5,0.0,12.5,0.0
Miles O'Brien/non-cast,42.9,28.599999999999998,14.299999999999999,14.299999999999999,0.0
Emony Dax/non-cast,42.9,14.299999999999999,42.9,0.0,0.0
Quark/Worf,42.9,57.099999999999994,0.0,0.0,0.0
Elim Garak/Julian Bashir/Odo,57.099999999999994,28.599999999999998,0.0,14.299999999999999,0.0
Julian Bashir/Luther Sloan,0.0,42.9,14.299999999999999,42.9,0.0
Julian Bashir/Worf,14.299999999999999,0.0,28.599999999999998,57.099999999999994,0.0
Shakaar Edon/non-cast,28.599999999999998,42.9,28.599999999999998,0.0,0.0
Julian Bashir/Melora Pazlar,28.599999999999998,14.299999999999999,28.599999999999998,28.599999999999998,0.0
Pel/Quark,0.0,57.099999999999994,0.0,42.9,0.0
Nilani Kahn/Torias Dax,14.299999999999999,71.39999999999999,14.299999999999999,0.0,0.0
Kira Nerys/Miles O'Brien,14.299999999999999,42.9,14.299999999999999,28.599999999999998,0.0
Elim Garak/Pythas Lok,16.7,33.300000000000004,16.7,33.300000000000004,0.0
Elim Garak/Jadzia Dax,0.0,16.7,33.300000000000004,33.300000000000004,16.7
Jack/Kelas Parmak,16.7,16.7,33.300000000000004,33.300000000000004,0.0
Ezri Dax/Jadzia Dax,33.300000000000004,33.300000000000004,16.7,16.7,0.0
Elim Garak/Keiko O'Brien,0.0,0.0,33.300000000000004,66.7,0.0
Elim Garak/Palandine,50.0,33.300000000000004,0.0,16.7,0.0
Nog/non-cast,0.0,16.7,16.7,66.7,0.0
Ezri Dax/Quark,33.300000000000004,0.0,16.7,50.0,0.0
Benjamin Sisko/Curzon Dax,20.0,60.0,0.0,20.0,0.0
Curzon Dax/Jadzia Dax,20.0,40.0,20.0,20.0,0.0
Kira Nerys/Odo/Quark,20.0,60.0,0.0,0.0,20.0
Thomas Riker/non-cast,0.0,40.0,40.0,20.0,0.0
Skrain Dukat/Tora Ziyal,0.0,0.0,20.0,80.0,0.0
Julian Bashir/Tora Ziyal,20.0,20.0,0.0,60.0,0.0
Julian Bashir/Palis Delon,60.0,0.0,0.0,40.0,0.0
Ishka/Lwaxana Troi,40.0,0.0,20.0,40.0,0.0
Benjamin Sisko/Jennifer Sisko,60.0,20.0,20.0,0.0,0.0
Julian Bashir/Keiko O'Brien,0.0,60.0,20.0,20.0,0.0
Jack/Sarina Douglas,20.0,20.0,60.0,0.0,0.0
Kira Nerys/Lupaza,25.0,50.0,25.0,0.0,0.0
Elim Garak/Julian Bashir/Tora Ziyal,25.0,0.0,0.0,75.0,0.0
Benjamin Sisko/Quark,25.0,25.0,25.0,25.0,0.0
Kira Nerys/Leeta,0.0,50.0,0.0,50.0,0.0
Female Changeling/Odo,0.0,25.0,50.0,25.0,0.0
Remata'Klan/non-cast,0.0,0.0,0.0,100.0,0.0
Ezri Dax/Leeta,25.0,75.0,0.0,0.0,0.0
Morn/non-cast,25.0,50.0,0.0,25.0,0.0
Ezri Dax/Jake Sisko,100.0,0.0,0.0,0.0,0.0
Yelgrun/non-cast,0.0,50.0,25.0,25.0,0.0
Felix/Julian Bashir,0.0,25.0,0.0,75.0,0.0
Elim Garak/Jadzia Dax/Julian Bashir,0.0,0.0,0.0,75.0,25.0
Female Changeling/Weyoun,0.0,0.0,25.0,75.0,0.0
Kira Nerys/Quark,25.0,75.0,0.0,0.0,0.0
Eris/Weyoun,0.0,50.0,25.0,25.0,0.0
Martok/non-cast,25.0,0.0,0.0,75.0,0.0
Jake Sisko/non-cast,75.0,0.0,0.0,25.0,0.0
Keiko O'Brien/non-cast,0.0,33.300000000000004,66.7,0.0,0.0
Captain Solok/non-cast,0.0,66.7,0.0,0.0,33.300000000000004
Corat Damar/Tora Ziyal,66.7,0.0,33.300000000000004,0.0,0.0
Kelas Parmak/non-cast,0.0,0.0,100.0,0.0,0.0
Julian Bashir/Julian Bashir,0.0,33.300000000000004,0.0,66.7,0.0
Benjamin Sisko/Odo,0.0,0.0,0.0,66.7,33.300000000000004
Vreenak/non-cast,0.0,0.0,66.7,33.300000000000004,0.0
Jadzia Dax/Keiko O'Brien,0.0,33.300000000000004,0.0,66.7,0.0
Rotan'talag/Weyoun,33.300000000000004,33.300000000000004,0.0,33.300000000000004,0.0
Jack/Julian Bashir,0.0,0.0,100.0,0.0,0.0
Corat Damar/Skrain Dukat/Weyoun,0.0,0.0,33.300000000000004,66.7,0.0
Benjamin Sisko/Michael Eddington,66.7,33.300000000000004,0.0,0.0,0.0
Elim Garak/Julian Bashir/Miles O'Brien,0.0,0.0,66.7,33.300000000000004,0.0
Eris/Luaran,33.300000000000004,33.300000000000004,33.300000000000004,0.0,0.0
Enabran Tain/Julian Bashir,0.0,0.0,33.300000000000004,66.7,0.0
Julian Bashir/non-cast/non-cast,0.0,33.300000000000004,66.7,0.0,0.0
Felix/non-cast,0.0,33.300000000000004,0.0,66.7,0.0
Julian Bashir/Weyoun,0.0,0.0,66.7,33.300000000000004,0.0
Corat Damar/Ezri Dax,33.300000000000004,33.300000000000004,0.0,33.300000000000004,0.0
Arissa/Odo,0.0,0.0,0.0,33.300000000000004,66.7
Keevan/Yelgrun,33.300000000000004,0.0,66.7,0.0,0.0
Furel/Lupaza,33.300000000000004,33.300000000000004,33.300000000000004,0.0,0.0
Alexander Rozhenko/Nog,0.0,66.7,0.0,0.0,33.300000000000004
Aamin Marritza/Iliana Ghemor,66.7,33.300000000000004,0.0,0.0,0.0
Jadzia Dax/Kira Nerys/Worf,66.7,0.0,33.300000000000004,0.0,0.0
Mekor Dukat/non-cast,0.0,100.0,0.0,0.0,0.0
Jadzia Dax/Julian Bashir/Worf,0.0,0.0,66.7,33.300000000000004,0.0
Tora Naprem/non-cast,0.0,66.7,0.0,33.300000000000004,0.0
Iloja of Prim/Tobin Dax,100.0,0.0,0.0,0.0,0.0
Goran'Agar/Julian Bashir,0.0,66.7,33.300000000000004,0.0,0.0
Boheeka/Quark,0.0,33.300000000000004,33.300000000000004,33.300000000000004,0.0
Kira Nerys/Worf,0.0,0.0,50.0,50.0,0.0
Enabran Tain/Kelas Parmak,0.0,0.0,50.0,50.0,0.0
Dax/Lenara Kahn,0.0,50.0,50.0,0.0,0.0
Opaka/Winn Adami,50.0,50.0,0.0,0.0,0.0
Worf/non-cast/non-cast,0.0,100.0,0.0,0.0,0.0
Laas/Odo,50.0,50.0,0.0,0.0,0.0
Quark/Vic Fontaine,0.0,50.0,50.0,0.0,0.0
Gilora Rejal/non-cast,0.0,0.0,0.0,100.0,0.0
Joseph Sisko/Sarah Sisko,50.0,0.0,50.0,0.0,0.0
Benjamin Sisko/Vic Fontaine,50.0,50.0,0.0,0.0,0.0
Kira Nerys/Winn Adami,0.0,50.0,0.0,0.0,50.0
Natima Lang/Tora Naprem,0.0,0.0,50.0,50.0,0.0
Borath/non-cast,0.0,50.0,50.0,0.0,0.0
Joseph Sisko/non-cast,0.0,50.0,50.0,0.0,0.0
