relationshipspairslash,works,comments,kudos,hits,words
Eris/Weyoun,4,12,36,1062,143949
Female Changeling/Weyoun,4,14,101,2291,14219
Kira Nerys/Lupaza,4,59,183,1815,10929
Jake Sisko/non-cast,4,20,110,3241,48287
Kira Nerys/Quark,4,12,88,1093,4226
Jadzia Dax/Keiko O'Brien,4,95,394,12520,169144
Female Changeling/Odo,4,18,48,1111,24700
Remata'Klan/non-cast,4,15,45,1173,60045
Benjamin Sisko/Ezri Dax,4,26,73,1346,13421
Morn/non-cast,4,43,174,3016,7696
Ezri Dax/Jake Sisko,4,24,107,1410,8673
Felix/non-cast,3,728,537,5871,51063
Boheeka/Quark,3,51,328,2194,7753
Jack/Julian Bashir,3,25,74,928,50233
Furel/Lupaza,3,43,38,399,55247
Julian Bashir/Weyoun,3,8,18,420,26022
Kelas Parmak/non-cast,3,67,360,2016,15334
Benjamin Sisko/Odo,3,12,43,1038,42634
Captain Solok/non-cast,3,16,98,1377,16371
Arissa/Odo,3,0,11,291,1413
Keiko O'Brien/non-cast,3,28,63,867,4307
Rotan'talag/Weyoun,3,6,64,903,4415
Benjamin Sisko/Michael Eddington,3,28,268,4587,16398
Eris/Luaran,3,25,56,784,22530
Iloja of Prim/Tobin Dax,3,39,216,805,5541
Keevan/Yelgrun,3,7,56,405,5008
Enabran Tain/Julian Bashir,3,291,424,6207,45033
Mekor Dukat/non-cast,3,1,23,223,4737
Aamin Marritza/Iliana Ghemor,3,6,34,455,6344
Tora Naprem/non-cast,3,164,134,2887,69515
Vreenak/non-cast,3,37,25,851,29732
Alexander Rozhenko/Nog,3,11,50,566,8946
Goran'Agar/Julian Bashir,3,71,217,1149,15210
Corat Damar/Ezri Dax,3,17,91,1256,5881
Julian Bashir/Julian Bashir,3,33,220,2441,16301
Corat Damar/Tora Ziyal,3,178,106,3202,106717
Spock/non-cast,3,28,356,7269,6576
Enabran Tain/non-cast,2,2,15,626,5021
Enabran Tain/Kelas Parmak,2,2,39,436,7713
Dax/non-cast,2,10,52,776,9032
Reese/non-cast,2,13,16,418,53560
Natima Lang/Tora Naprem,2,4,26,703,4910
Jadzia Dax/Melora Pazlar,2,2,29,197,994
Jake Sisko/Kesha,2,64,844,6962,4932
Enabran Tain/Martok,2,78,256,1493,4208
Julian Bashir/Q,2,9,33,976,31652
Amsha Bashir/Richard Bashir,2,18,233,2507,4369
Kira Nerys/Winn Adami,2,16,26,147,1459
Laas/Odo,2,10,45,279,200
Benjamin Sisko/Vic Fontaine,2,22,30,328,3206
Dax/Lenara Kahn,2,126,116,2790,83933
Gilora Rejal/non-cast,2,4,44,686,3628
Kilana/non-cast,2,17,27,520,3541
Quark/Vic Fontaine,2,15,64,349,2068
Keevan/Skrain Dukat,2,77,90,1625,48981
Winn Adami/non-cast,2,4,15,351,3812
Jaro Essa/Winn Adami,2,29,30,653,20570
Bareil Antos/Benjamin Sisko,2,31,68,940,3611
Borath/non-cast,2,7,43,668,3420
Tom Paris/non-cast,2,229,231,4543,64705
Corat Damar/Keevan,2,23,103,701,7828
Jadzia Dax/Odo,2,25,203,2904,16957
Kira Nerys/Worf,2,25,110,985,17046
Corat Damar/Mila Garak,2,73,201,970,4592
Ishka/Zek,2,2,22,387,2357
Curzon Dax/Quark,2,41,229,1362,3126
Chalan Aroya/Odo,2,23,121,1442,30439
Corat Damar/Julian Bashir,2,11,50,710,2407
Grilka/Natima Lang,2,12,26,463,3060
Ishka/Keldar,2,16,40,322,9825
Akellen Macet/Elim Garak,2,3,15,1289,26198
Joseph Sisko/non-cast,2,4,55,925,4016
Dax/Worf,2,0,3,92,4835
Leeta/Winn Adami,2,18,55,522,1758
Curzon Dax/Julian Bashir,2,698,507,5425,42320
Julian Bashir/Odo,2,18,81,3254,65008
Elim Garak/Lwaxana Troi,2,33,135,1272,4505
Opaka/Winn Adami,2,7,48,804,5395
Dax/Julian Bashir,2,32,94,2902,52772
Morn/Quark,2,37,182,1259,4870
Odo/Worf,2,20,91,900,4501
Elim Garak/Enabran Tain,2,7,34,1485,2166
Barkan Lokar/Elim Garak,2,77,250,5799,32752
Kasidy Yates/Keiko O'Brien,2,5,22,225,2569
K'Ehleyr/Worf,2,75,152,3516,4457
Benjamin Sisko/Rom,2,16,49,478,2910
Joseph Sisko/Sarah Sisko,2,5,49,805,4111
Corat Damar/Quark,1,5,38,300,2534
Han Solo/Luke Skywalker,1,15,24,242,1483
Eris/Kilana,1,4,17,101,1668
Alexander Rozhenko/Jake Sisko,1,2,20,131,4143
Deral/Julian Bashir,1,8,63,321,3473
Rom/non-cast,1,44,27,367,45032
Ray Vecchio/non-cast,1,135,397,4841,7
Julian Bashir/Lwaxana Troi,1,674,452,5258,41243
Jadzia Dax/Kilana,1,28,53,828,22711
The Doctor/non-cast,1,4,33,235,377
Rose Tyler/non-cast,1,4,33,235,377
Ezri Dax/Kilana,1,0,2,30,281
Kaga/Quark,1,47,144,1416,17486
Omet'iklan/Weyoun,1,1,28,287,1958
Kelas Parmak/Tora Ziyal,1,0,11,313,2498
Julian Bashir/Winn Adami,1,9,13,54,549
Elim Garak/Joseph Sisko,1,12,16,57,327
Ezri Dax/Nog,1,4,7,75,4123
Kela Idaris/non-cast,1,4,3,47,9074
Alexander Rozhenko/Ch'Targh,1,2,5,68,1093
Jadzia Dax/K'Ehleyr,1,17,20,162,100
Ziranne Idaris/non-cast,1,4,3,47,9074
Kira Nerys/Tekeny Ghemor,1,2,1,18,100
Brunt/non-cast,1,8,25,376,4429
Drex/Elim Garak,1,3,65,789,3337
Gor/Weyoun,1,3,24,281,1081
Athra Dukat/Skrain Dukat,1,27,36,266,4874
Quark/Skrain Dukat,1,10,38,438,3430
Mavek/non-cast,1,33,33,824,44259
Julian Bashir/Kaga,1,28,112,403,1224
Benjamin Sisko/Weyoun,1,3,12,85,2797
Amsha Bashir/Elim Garak,1,83,40,707,12174
Benjamin Sisko/Miles O'Brien,1,2,1,52,410
Benjamin Sisko/Q,1,0,0,27,890
Elim Garak/Richard Bashir,1,83,40,707,12174
Jasper Hale/Rosalie Hale,1,3,5,130,378
Benjamin Sisko/Captain Solok,1,3,15,202,351
Ezri Dax/Garak,1,0,0,151,4204
Alexander Rozhenko/Julian Bashir,1,118,99,960,7143
