,freeforms
Xenobiology,1
Worldbuilding,1
lots of literary references whoops these guys talk a lot,1
implied domestic abuse (but not between them),1
Non-Chronological,1
Implied Sexual Content,1
Emotional Hurt/Comfort,1
Alien Cultural Differences,1
Unrequited Nog/Jake Sisko,1
Romantic Fluff,1
Queer Nog (Star Trek),1
Pregnancy,1
Alien Gender/Sexuality,1
POV Leeta (Star Trek),1
Family Bonding,1
Late Night Conversations,1
random starfleet idiot boy,1
Accidental Flirting,1
Angst and Feels,1
Comfort,1
Sharing a Bed,1
Post-Series,1
Pre-Series,1
description of injury,1
Pre-Slash,1
Some angst,1
On the Defiant in early Season 6,1
Self-Harm,1
set in the far future,1
Cantair Set,1
The Bashir's A+ Parenting,1
Some Humor,1
Moving On,1
Post-Break Up,1
Julian misreading signals possibly deliberately in some cases,1
Implied/Referenced Depression,1
Miscommunication,1
Non-Consensual Drug Use,1
Platonic Kissing,1
Universal Translator Not Supported - Freeform,1
Character Study,1
Season/Series 02,1
Episode: s02e07 Rules of Acquisition,1
Vulcans,1
Season/Series 07,1
Mind Meld,1
Star Trek References,1
Telepathy,1
Crossover,1
Alternate Universe - BtVS Fusion,1
pelvic examination,1
not kinky although Garak wishes it was,1
Post-Episode: s02e22 The Wire,1
Middle aged lizard,1
Medical Examination,1
Doctor Bashir being an actual doctor,1
Cardassian Anatomy,1
Episode: s07e25 What You Leave Behind,1
Child Abuse,1
Genetically Engineered Beings,1
Recovery,1
Superpowers,1
Comedy,1
Alcohol,1
trektober2020,1
Audio Format: Streaming,1
Podfic,1
Trektober,1
Nightmares,1
Non-Explicit Sex,1
Podfic Length: 0-10 Minutes,1
Implied/Referenced Abortion,1
trans feelings,1
gender euphoria,1
Dysphoria,1
Verbal Abuse,1
Andorians,1
Addiction,1
Cardassian Holosuite Game - Freeform,1
Truth Serum,1
Babel Trek Open Project (Star Trek),1
Action/Adventure,1
Romance,1
Mild Sexual Content,1
Humor and SciFi,1
snapshots basically,1
put a lil bit of my own twist on it to make this fic work,1
The Obsidian Order does messed up things to their agents' daemons apparently,1
Harm to Daemons,1
Daemon Separation,1
Alternate Universe - Daemons,1
assumed character deaths,1
Secret Organization,1
Mild Angst,1
Alternate Universe - NCIS Fusion,1
Literary Discussion,1
Alternate Universe - Once Upon a Time Fusion,1
kind of,1
Brief torture?,1
Original character is killed off and barely mentioned,1
Original characters is both a separate character and the reader,1
Space Battles,1
Autistic Julian Bashir,1
S04E01 Way of the Warrior,1
Ferengi Rules of Acquisition,1
Ferengi,1
Post-A Stitch in Time - Andrew Robinson,1
Past Tense,1
Alternate Universe - Dark Angel Fusion,1
Politics,1
Torture Mentioned,1
Alternate Universe - Firefly Fusion,1
Alternate Universe - Leverage Fusion,1
the later two are briefly portrayed at the end,1
reader is main character,1
julian is a hallucination once or twice,1
injured,1
hallucination,1
this program contains product placement (til'amin froth),1
