,freeforms
Communication as clear as the game of telephone,1
Awkward Sexual Situations,1
Awkward Conversations,1
Arguing,1
Angst and Feels,1
holographic non-con,1
Squirting,1
holographic bestiality,1
this is the first fic ive ever written im so sorry,1
Disabled Character,1
Pregnancy,1
Homesickness,1
Drabbles,1
Cuddling & Snuggling,1
Caretaking,1
Canteiriau,1
Alternate Universe - Dragons,1
justice league - Freeform,1
Star Trek - Freeform,1
Guy Fieri - Freeform - Freeform,1
they have a Thing i guess,1
dragon!Dukat of holographic nature,1
sorry - Freeform,1
not sure.,1
not really hate sex?,1
its consentual,1
handjobs,1
crack probably,1
but kinda?,1
Writing Trade,1
Quarks Bar,1
Prompted Writing,1
Love/Hate,1
Drugs,1
Small Penis,1
Trans Character,1
Belly Fucking,1
Face-Sitting,1
Exhibitionism,1
Dd/lb,1
Daddy Dom/Little Boy,1
Dacryphilia,1
Cuckolding,1
Creampie,1
Consensual Non-Consent,1
Clothing Kink,1
Chastity Device,1
Bukkake,1
Blood Kink,1
Blindfolds,1
Ass Play,1
implied polyamory,1
Submissive Julian Bashir,1
Morning Sex,1
Kelas Parmak's Glorious Thighs,1
Fat Character,1
Dominant Kelas Parmak,1
DS9ers Kink Swap 2019,1
Body Worship,1
Belly Kink,1
Growling,1
Games,1
Dukat gets dragged kind of,1
Oral,1
Not Enough Oomox Though,1
Just straight up porn,1
Gay Character,1
Future Starship Captain Nog,1
Friends to Lovers,1
Anal,1
Tentacle Monsters,1
STRAP IN FOLKS,1
Oo boi this is a doozy,1
Penetrative Sex,1
Romulans,1
Mildly Dubious Consent,1
Interspecies Awkwardness,1
Intendant Kira,1
speculative reproductive xenobiology,1
just for fun,1
Not a fic,1
And for reference!,1
Rare Pairings,1
Light Bondage,1
Food Sex,1
Aliens Made Them Do It,1
Star Trek AU,1
Oomox,1
PWP in the Classic Fashion,1
Anal Sex,1
Pansexual Character,1
Agender Garak,1
Mental Health Issues,1
Marriage of Convenience,1
Infidelity,1
Explicit Sexual Content,1
Emotional Abuse/Manipulation,1
wet dreams,1
Sleep Groping,1
Morning Wood,1
Gentleness,1
Fingering,1
Wetting,1
Urolagnia,1
Intersex!Kelas,1
Friends please be aware that this is not watersports of the surfing kind,1
Consensual Kink,1
Massage,1
Foreplay,1
Complete,1
gratuitous use of the word fuck,1
Transgender Character (mentioned),1
That Good Nasty Shit,1
Space Tinder,1
Hair-pulling,1
Humiliation,1
Katoptronophilia,1
Elim Garak is a good boyfriend,1
none of this heteronormativity nonsense,1
consensual voyeurism,1
Vaginal Fingering,1
Recreational Drug Use,1
Age Difference,1
dub-con roleplay,1
Sexual Roleplay,1
Julian at the Academy,1
Crack Treated Seriously,1
if at all,1
he has feelings,1
Under-negotiated Kink,1
Submission,1
Subdrop,1
Past Sexual Abuse,1
Past Abuse,1
Lore is a good person I guess?,1
Implied/Referenced Dubious Consent,1
Gender-Neutral Pronouns,1
Dominance,1
Choking,1
treating ezri as a cis woman,1
seriously this is unedited so like be nice,1
the only elim/ziyal au i will accept is a queer one,1
Rape Fantasy,1
no beta we die like men,1
Tentacle Rape,1
asshole Dukat,1
Rimming,1
Monster Dick,1
Manga Logic,1
Jealous Garak,1
Blackmail,1
references to pregnancy,1
Weird Metaphorical Stuff,1
War Crimes,1
Surreal,1
Suicide,1
Self-Harm,1
Past Rape/Non-con,1
Memories,1
Implied/Referenced Rape/Non-con,1
Delusions,1
Bruises,1
Blood,1
Autoerotic Asphyxiation,1
An Abundance of Tags,1
An Abundance of Caution,1
Accidental Death,1
you'll see - Freeform,1
non-human anatomy,1
mention of various DS9 characters,1
Kinktober,1
Drunken sex,1
And therefore toppy Dukat,1
Teasing,1
Strength Kink,1
Sthenolagnia,1
Spitroasting,1
Somnophilia,1
Size Kink,1
Service Top,1
Sensation Play,1
Scent Kink,1
Salirophilia,1
Roleplay,1
Religion Kink,1
Punishment,1
Public Sex,1
Praise Kink,1
Power Play,1
Pet Play,1
Mirror Sex,1
Medical Kink,1
Master/Pet,1
Leather Kink,1
Kinktober 2019,1
Bottom Garak,1
Top Dukat,1
Is it masturbation if it's based on your worm's previous lives????,1
Uniform Kink,1
Reader-Insert,1
Reader's a lizardfucker too,1
POV Second Person,1
I'm a lizardfucker and I won't apologize for it,1
Threesome - M/M/M,1
Screenplay/Script Format,1
language porn,1
Utter Filth,1
Universal Translator,1
Tops Who Come Close To Crying,1
Topping To Avoid Your Feelings,1
Tender Filth,1
Overuse of Metaphors,1
Like Real Filthy,1
Hijinks & Shenanigans,1
Garak's Creative Vocabulary,1
Dirty Thoughts,1
Babel Trek Open Project (Star Trek),1
A Punch In The Face,1
Graphic Description of Corpses,1
also sorry about the badly mangled french,1
Very subby Garak,1
Very Sorry About That,1
Fan Art,1
