,freeforms
Halloween Costumes,1
Halloween,1
Eros - Freeform,1
Costumes,1
Costume Parties & Masquerades,1
Changeling - Freeform,1
Anticipation,1
Speculum,1
this is basically very soft and sweet,1
nightmare problems and wholesome garak,1
Rough Kissing,1
Ficlet Collection,1
mirror,1
Terrans,1
Terok Nor,1
Bubbly,1
Bajor,1
Edging,1
No actual sex,1
Anonymous Sex,1
Anonymity,1
who needs monogamy in space?,1
implied keiko/sisko,1
implied Keiko/others,1
Space Polyamory,1
PWP,1
Cuckolding,1
Glory Holes,1
sounds,1
not like sounding,1
just jerkin' it,1
jerking off,1
is it voyeurism if you're only listening?,1
Sex sounds,1
Non-Consensual Voyeurism,1
Blow Jobs,1
Oral Sex,1
Alternate Universe - Shapeshifters,1
child endangerment,1
suggestive talk,1
Internalized Fatphobia,1
Insecurity,1
Starts out funny but ends kind of sad,1
Sex with males females and other things,1
some characters are going to die,1
questionable moral decisions,1
War,1
Sex Work,1
See also this is War,1
Miscarriage,1
Biological Weapons,1
Biological Warfare,1
look you and i and Julian all know who's behind the chief's wall,1
background garashir because its me and there's always background garashir,1
amiright,1
Sex Talk,1
