relationshipspairslashspecies,General Audiences,Teen And Up Audiences,Mature,Explicit,Not Rated,Total
Bajoran/Cardassian/Human,0,1,0,0,0,1
Cardassian/Trill/unknown,0,0,0,1,0,1
Bajoran/Vorta,0,0,0,1,0,1
Bajoran/Bajoran/Trill/Trill,0,1,0,0,0,1
Cardassian/Cardassian/Cardassian,0,0,0,1,0,1
Cardassian/Q,0,0,1,0,0,1
Cardassian/Human/unknown/unknown,0,1,0,0,0,1
Bajoran/Human/unknown/unknown,0,1,0,0,0,1
Cardassian/Romulan/unknown,0,0,0,1,0,1
Human/sy,0,1,0,0,0,1
Cardassian/Cardassian/Multiple,0,0,0,1,0,1
Klingon/Klingon/Trill,0,0,1,0,0,1
Vorta/Vorta/unknown,0,0,0,1,0,1
Human/Trill/unknown,0,0,0,0,1,1
Bajoran/Ferangi/Klingon,0,0,0,1,0,1
Bajoran/Cardassian/Trill/Vorta,0,0,0,1,0,1
Cardassian/Human/Vorta,0,0,1,0,0,1
Total,2382,2737,1294,1774,306,8493
