,freeforms
Episode: s03e07 Civil Defense,2
Possessive Behavior,2
Cock Worship,2
Kinda,2
Maquis,2
Vulcan Culture,2
Alternate Universe - Star Trek Fusion,2
Zanthi Fever,2
Don't copy to another site,2
Julian Bashir's canonical foot fetish,2
Aliens Made Them Do It,2
Platonic Sex,2
Romantic Gestures,2
Space Polyamory,2
Object Insertion,2
Symbionts,2
Romulans,2
First Time Blow Jobs,2
Bottom Julian Bashir,2
Restraints,2
Cultural Differences,2
Post-Canon Cardassia,2
Awkward Sexual Situations,2
Elevator Sex,2
Cardassian Rebellion,2
Curiosity,2
other pairings mentioned - Freeform,2
Arguing,2
Foreplay,2
Other relationships mentioned - Freeform,2
Massage,2
Switching,2
Foot Fetish,2
Bajor,2
Illustrated,2
Light Bondage,2
Sex Pollen,2
Missing Scene,2
Guilt,2
Hot Tub,2
Group Sex,2
Forbidden,2
Office Sex,2
Safer Sex,2
Mini Drabble,2
Enemies,2
Enemies to Friends to Lovers,2
Banter,2
Alternate Canon,2
Cloaca,2
Cloacal Sex,2
Idiots in Love,2
Couch Sex,2
Bisexual Julian Bashir,2
Canon Divergence,2
Robot Sex,2
Public Sex,2
Finger Sucking,2
Nonsense,1
twice over,1
Oralsex,1
Triple Penetration,1
Relief,1
Sex in front of a fire,1
bedroomfantasies,1
makinglove,1
Julian is a sex god,1
onelastime,1
topjulian,1
pornwithlove,1
Meaning,1
Sneaking Around,1
Trust,1
Bathing/Washing,1
Fuck me out of my mind please,1
pornwithpassion,1
What to say to make you come again?,1
mention of kira t'vani,1
Episode: s03e25 Facets,1
Closet Sex,1
Underage Drinking,1
Weyoun being a goddamned creep,1
when PTSD rears its ugly head,1
Breeding Kink,1
lots of goo!,1
technically this all involves odo But i'm not pairingtagging him,1
alien differences,1
dom/sub dynamics,1
Bath Sex,1
mention of shakaar tesrin,1
Closure,1
Baby - baby - baby - baby - oh baby,1
Come back to me again,1
Garashir - Freeform,1
mention of shakaar seltha,1
Makingup,1
Cabin Fic,1
Smut because we can,1
smoking cigar with vagina,1
won’t tell you no lies,1
I swear I won’t tease you,1
put your trust in me,1
episode tag: shadowplay,1
let's make love,1
don't you know I love you till it hurts me baby,1
terok nor: dawn of the eagles,1
I will be your father figure,1
I want your sex,1
Explicit Consent,1
Timeline moves between post-canon DS9 and the Cardassian resistance during Season 7,1
I want your love,1
I wrote this for me but you can read it too if you want,1
I want you baby,1
Happily Ever After,1
Garashir (side),1
Consent Issues,1
Damar Lives (Star Trek),1
Feelings Realization,1
Jefferies Tubes (Star Trek),1
Trill Culture (Star Trek),1
like high romance,1
I can hardly wait to be with you again,1
this is my first heterosexual fanfic yeehaw,1
Season/Series 03,1
You said you'd be coming back this way again baby,1
I don't know if this is what the prompt meant but I'm running with it,1
Blizzards & Snowstorms,1
Gratuitous mirrorverse sex,1
Mating Bond,1
I love you - I really do,1
Unplanned Pregnancy,1
Adoption,1
low key daddy kink,1
You and Dukat because why not?,1
The Cardassian Occupation of Bajor,1
some porn-mostly plot,1
cw: references to forced sterilization,1
I will be your daddy,1
Bajoran occupation,1
Business,1
Oral Fixation,1
NSFW Art,1
or would she?,1
Frippertronics,1
in Dukat's dreams probably because Kira would never,1
idk i really just wanted to write Runabout Control Panel Sex,1
he's a Bad Dom Though,1
dukat really needs to be a dom,1
but just a little bit,1
Kneeling,1
Kira is Very Frustrated,1
Light-Hearted,1
D/s,1
Odosports,1
Feline,1
Sexual Humor,1
Time travel man,1
Sexual Attraction,1
Weirdness,1
consuming Odo's liquid,1
in the mood for Dukat Dick,1
female prison,1
What I wanted at 17,1
Terok Nor Gul Dukat,1
mentions of D'jara,1
mentions of strict caste system,1
Drinking,1
Mating,1
Episode: s06e03 Sons And Daughters,1
Foursome - F/F/M/M,1
Episode: s02e07 Rules of Acquisition,1
Married Life,1
