charactersclean,works,comments,kudos,hits,words
Boday,2,61,865,7202,23925
Mareel,2,8,30,335,9516
Arjin,2,5,20,412,9853
Kira Pohl,2,46,118,2326,89509
Emergency Medical Hologram Mark II,2,81,302,4448,2378
Prinadora,2,69,115,959,47526
Jaro Essa,2,29,30,653,20570
Niala Damar,2,11,54,564,18180
Rionoj,2,137,368,4320,29757
Lursa,2,58,208,1365,7158
Dukat's Mother,2,32,58,601,6112
Tamal,2,18,19,472,49583
Iloja of Prim,2,10,35,149,5622
Li Nalas,2,7,79,648,2303
Rotan'talag,2,5,38,685,3530
Rebecca Sisko,1,0,3,59,37004
Koval,1,13,15,333,1273
Dulmur,1,0,2,21,1014
Kela Idaris,1,4,3,47,9074
Tagana,1,25,72,371,3573
Ch'Targh,1,2,5,68,1093
Nilva,1,22,35,274,12739
Akorem Laan,1,2,5,49,603
Leyton,1,8,14,108,1624
Dukat's Children,1,0,3,78,1479
Kabo,1,25,72,371,3573
Maihar'du,1,8,18,164,7415
Benteen,1,2,3,16,2533
Cox,1,12,9,158,55120
Gor,1,3,24,281,1081
Ee'char,1,7,46,262,3097
Meya Rejal,1,16,4,129,107054
Broca,1,6,11,85,6095
Lieutenant Watley,1,20,30,132,2534
Erit,1,9,70,360,2907
Yareth,1,9,13,127,17306
Ellis Gareth,1,3,52,640,9604
Nareeya,1,7,17,98,1156
Enina Tandro,1,0,16,406,486
Hanor Pren,1,2,12,243,2871
Tahna Los,1,7,9,103,4133
Solbor,1,1,31,387,1259
Buck Bokai,1,2,6,152,5394
Letant,1,28,143,2049,8422
Kalandra,1,25,108,1411,1885
Girani,1,15,230,2142,6448
Gariff Lucsly,1,4,8,210,1297
Ornak,1,4,27,369,5213
Lysia Arlin,1,19,71,441,1086
Darhe'el,1,15,39,614,35278
Gul Marratt,1,9,35,389,971
Vedek Nane,1,1,33,670,1317
Hagath,1,15,16,161,4234
Laira,1,55,835,6919,4652
Admiral Whatley,1,2,25,207,4920
Fala Trentin,1,11,48,1344,3776
Onara,1,10,11,194,15241
Lorit Akrem,1,6,29,245,6494
Vaatrik Pallra,1,2,11,67,478
Parn,1,4,3,40,18115
Janel Tigan,1,20,30,497,13485
Dejar,1,238,10,292,32993
Dulath,1,4,25,137,738
Deral,1,0,8,79,552
Gul Revok,1,17,5,116,23872
Gul Russol,1,13,9,226,30294
Norvo Tigan,1,31,76,836,17142
Kel Lokar,1,10,25,261,5649
Ambassador Lojal,1,10,13,89,5944
Mavek,1,33,33,824,44259
Boq'ta,1,126,511,4400,12426
Ziranne Idaris,1,4,3,47,9074
